                                                                                                 name                                                                                                 | total_pac_donations 
 HART FOR CONGRESS                                                                                                                                                                                    |                    
 HARTLINE FOR CONGRESS 2010                                                                                                                                                                           |                    
 HARTMAN FOR CONGRESS                                                                                                                                                                                 |                    
 HARTMAN FOR CONGRESS                                                                                                                                                                                 |                    
 HARTZOK FOR CONGRESS COMMITTEE                                                                                                                                                                       |                    
 HARVEST PAC                                                                                                                                                                                          |                    
 HARVEY, KATHRYN K                                                                                                                                                                                    |                    
 HARVILLA FOR CONGRESS                                                                                                                                                                                |                    
 HASTINGS FOR CONGRESS                                                                                                                                                                                |                    
 HASTINGS FOR CONGRESS CAMPAIGN COMMITTEE                                                                                                                                                             |                    
 HATCH ELECTION COMMITTEE INC                                                                                                                                                                         |                    
 HATCH VICTORY COMMITTEE                                                                                                                                                                              |                    
 HATCH VICTORY COMMITTEE                                                                                                                                                                              |                    
 HAVE-NOTS UNITE! HALF-KNOTS UNTIE!                                                                                                                                                                   |                    
 HAWAIIAN AIRLINES INC POLITICAL ACTION COMMITTEE                                                                                                                                                     |                    
 HAWAIIAN TELCOM COMMUNICATIONS INC FEDPAC                                                                                                                                                            |                    
 HAWAII CONGRESSIONAL CAMPAIGNS VICTORY FUND FEDERAL PAC                                                                                                                                              |                    
 HAWAII CONGRESSIONAL CAUCUS                                                                                                                                                                          |                    
 HAWAII DEMOCRATIC CLUB                                                                                                                                                                               |                    
 HAWAII DEMOCRATIC EXECUTIVE BOARD                                                                                                                                                                    |                    
 HAWAII DEMOCRATIC LEADERSHIP FEDERAL COMMITTEE                                                                                                                                                       |                    
 HAWAII DEMOCRATIC PARTY                                                                                                                                                                              |                    
 HAWAII DEMOCRATIC TRUST FUND                                                                                                                                                                         |                    
 HAWAII GOVERNMENT EMPLOYEES  ASSOCIATION                                                                                                                                                             |                    
 HAWAII HORSE ASSOCIATION                                                                                                                                                                             |                    
 HAWAII MEDICAL POLITICAL ACTION COMMITTEE                                                                                                                                                            |                    
 HAWAII MEDICAL SERVICE ASSOCIATION EMPLOYEE POLITICAL ACTION COMMITTEE                                                                                                                               |                    
 HAWAII MICHIGAN VICTORY FUND                                                                                                                                                                         |                    
 HAWAII OPTOMETRIC POLITICAL ACTION COMMITTEE                                                                                                                                                         |                    
 HAWAII POLITICAL ACTION COMMITTEE                                                                                                                                                                    |                    
 HAWAII PSYCHOLOGICAL PAC AKA HI PSYPAC                                                                                                                                                               |                    
 HAWAII REPUBLICAN CLUB                                                                                                                                                                               |                    
 HAWAII REPUBLICAN EXECUTIVE BOARD                                                                                                                                                                    |                    
 HAWAII REPUBLICAN LEADERSHIP FEDERAL COMMITTEE                                                                                                                                                       |                    
 HAWAII REPUBLICAN PARTY                                                                                                                                                                              |                    
 HAWAII REPUBLICAN TRUST FUND                                                                                                                                                                         |                    
 HAWAII RIGHT TO LIFE                                                                                                                                                                                 |                    
 HAWAII SENATE VICTORY FUND                                                                                                                                                                           |                    
 HAWAII SENATORIAL CAUCUS                                                                                                                                                                             |                    
 HAWAII STATE TEACHERS ASSOCIATION POLITICAL ACTION COMMITTEE FUND                                                                                                                                    |                    
 HAWAII VICTORY 2012                                                                                                                                                                                  |                    
 HAWORTH FOR CONGRESS                                                                                                                                                                                 |                    
 HAYDEN FOR CONGRESS                                                                                                                                                                                  |             8000.00
 HAYDEN FOR CONGRESS                                                                                                                                                                                  |                    
 HAYDEN ROGERS FOR CONGRESS                                                                                                                                                                           |                    
 HAYWARD FOR PRESIDENT AIDES GENOCIDE DISMANTLING RESEARCH ASSOCIATION PRESIDENTIAL                                                                                                                   |                    
 HAZE FOR CONGRESS                                                                                                                                                                                    |                    
 H BROOKE PAIGE FOR US SENATE -  CAMPAIGN COMMITTEE LLC                                                                                                                                               |                    
 HCA INC. GOOD GOVERNMENT FUND                                                                                                                                                                        |                    
 HCR MANOR CARE PAC                                                                                                                                                                                   |                    
 HDR, INC. PAC                                                                                                                                                                                        |                    
 HEADQUARTERS COMMITTEE OF WEST HOLLYWOOD/BEVERLY HILLS & STONEWALL DEMOCRATIC                                                                                                                        |                    
 HEADRICK FOR CONGRESS                                                                                                                                                                                |                    
 HEADWATERS INCORPORATED PAC                                                                                                                                                                          |                    
 HEALTH ALLIANCE PLAN PAC                                                                                                                                                                             |                    
 HEALTHCARE ASSOCIATION OF NEW YORK STATE AND ALLIED ASSOCIATIONS' FEDERAL PAC (HANYS FEDERAL PAC)                                                                                                    |                    
 HEALTHCARE DISTRIBUTION MANAGEMENT ASSOCIATION POLITICAL ACTION COMMITTEE                                                                                                                            |                    
 HEALTHCARE FREEDOM FUND                                                                                                                                                                              |                    
 HEALTH CARE LEADERSHIP COMMITTEE                                                                                                                                                                     |                    
 HEALTH CARE REFORM AMERICA                                                                                                                                                                           |                    
 HEALTH CARE SERVICE CORPORATION EMPLOYEES' POLITICAL ACTION COMMITTEE                                                                                                                                |                    
 HEALTHCARE SUPPLY CHAIN ASSOCIATION POLITICAL ACTION COMMITTEE (HSCA PAC)                                                                                                                            |                    
 HEALTH COALITION ON LIABILITY AND ACCESS                                                                                                                                                             |                    
 HEALTH COALITION ON LIABILITY AND ACCESS                                                                                                                                                             |                    
 HEALTH DIAGNOSTIC LABORATORY INC. PAC                                                                                                                                                                |                    
 HEALTH EDUCATION AND LEARNING POLITICAL ACTION COMMITTEE (HEALPAC)-FEDERAL                                                                                                                           |                    
 HEALTH INDUSTRY DISTRIBUTORS ASSOCIATION POLITICAL ACTION COMMITTEE                                                                                                                                  |                    
 HEALTH MANAGEMENT ASSOCIATES INC FED PAC LLC                                                                                                                                                         |                    
 HEALTH NET, INCORPORATED POLITICAL ACTION COMMITTEE                                                                                                                                                  |                    
 HEALTH PAL                                                                                                                                                                                           |                    
 HEALTH PARTNERS PLANS POLITICAL ACTION COMMITTEE                                                                                                                                                     |                    
 HEALTHSOUTH CORPORATION POLITICAL ACTION COMMITTEE                                                                                                                                                   |                    
 HEALTHSPRING, INC. POLITICAL ACTION COMMITTEE                                                                                                                                                        |                    
 HEALTH TEXAS MEDICAL GROUP FEDERAL PAC                                                                                                                                                               |                    
 HEALTHWAYS INC. FEDERAL PAC                                                                                                                                                                          |                    
 HEALTHY AMERICA                                                                                                                                                                                      |                    
 HEALTHY GOVERNMENT COMMITTEE-THE POLITICAL ACTION COMMITTEE OF BLUE CROSS & BLUE SHIELD OF ARIZONA, INC.                                                                                             |                    
 HEALY-ABRAMS FOR CONGRESS                                                                                                                                                                            |                    
 HEARPAC OF HEARING INDUSTRIES ASSOCIATION                                                                                                                                                            |                    
 HEARTDOCPAC                                                                                                                                                                                          |                    
 HEARTLAND AMERICA PAC                                                                                                                                                                                |                    
 HEARTLAND CAMPAIGN FUND                                                                                                                                                                              |           100000.00
 HEARTLAND COMMUNITY BANKERS ASSOCIATION-POLITICAL ACTION COMMITTEE (HCBA-PAC)                                                                                                                        |                    
 HEARTLAND PAC                                                                                                                                                                                        |                    
 HEARTLAND PROJECT; THE                                                                                                                                                                               |           110000.00
 HEARTLAND RESURGENCE                                                                                                                                                                                 |                    
 HEARTLAND VALUES PAC                                                                                                                                                                                 |                    
 HEARTLAND VICTORY FUND 2012                                                                                                                                                                          |                    
 HEART OF AMERICA PAC                                                                                                                                                                                 |                    
 HEART PAC                                                                                                                                                                                            |                    
 HEARTPLACE FEDERAL PAC                                                                                                                                                                               |                    
 HEASTER FOR CONGRESS                                                                                                                                                                                 |                    
 HEAT AND FROST INSULATORS AND ALLIED WORKERS LOCAL 60 PAC                                                                                                                                            |                    
 HEATHER FOX                                                                                                                                                                                          |                    
 HEATHER GRANT FOR US SENATE                                                                                                                                                                          |                    
 HEATH SHULER FOR CONGRESS                                                                                                                                                                            |                    
 HEATING AIR-CONDITIONING & REFRIGERATION DISTRIBUTORS INTERNATIONAL POLITICAL ACTION COMMI                                                                                                           |                    
 HEAVY AND GENERAL CONSTRUCTION LABORERS LOCAL UNION 472 PAC AKA LABORERS LOCAL 472 PAC                                                                                                               |                    
 HEAVY CONSTRUCTORS ASSOCIATION FEDERAL POLITICAL ACTION COMMITTEE                                                                                                                                    |                    
 HEAVY CONSTRUCTORS ASSOCIATION OF GREATER K.C. AREA                                                                                                                                                  |                    
 HECHT FOR CONGRESS                                                                                                                                                                                   |                    
 HECK PAC                                                                                                                                                                                             |            12500.00
 HECLA MINING COMPANY/HECLA LIMITED PAC                                                                                                                                                               |                    
 HEIDI 4 CONGRESS                                                                                                                                                                                     |                    
 HEIDI FOR SENATE                                                                                                                                                                                     |                    
 HEINEKEN USA INC GOOD GOVERNMENT COMMITTEE                                                                                                                                                           |                    
 HEINIE FOR US CONGRESS                                                                                                                                                                               |                    
 HEINRICH HIRONO VICTORY FUND                                                                                                                                                                         |                    
 HELENA MORENO FOR CONGRESS                                                                                                                                                                           |                    
 HELFRICK, EDWARD W                                                                                                                                                                                   |                    
 HELICOPTER ASSOCIATION INTERNATIONAL POLITICAL ACTION COMMITTEE (HAIPAC)                                                                                                                             |                    
 HELLENBRAND FOR CONGRESS                                                                                                                                                                             |                    
 HELLER FOR SENATE                                                                                                                                                                                    |                    
 HELLERHIGHWATER PAC                                                                                                                                                                                  |            12000.00
 HELLER VICTORY COMMITTEE                                                                                                                                                                             |                    
 HELLER VICTORY COMMITTEE                                                                                                                                                                             |                    
 HELP AMERICA'S LEADERS POLITICAL ACTION COMMITTEE (HALPAC)                                                                                                                                           |             5000.00
 HELP ELECT AMERICA'S TEAM (HEAT PAC)                                                                                                                                                                 |                    
 HELPING ENSURE RESPONSIBLE GOVERNMENT BY ELECTING REPUBLICANS (H.E.R.G.E.R. PAC)                                                                                                                     |                    
 HELPING ENSURE RESPONSIBLE GOVT BY ELECTING REPUBLICANS #2                                                                                                                                           |                    
 HELP UNITE REPUBLICANS TODAY POLITICAL ACTION COMMITTEE                                                                                                                                              |                    
 HEMPATHY - CALIFORNIANS FOR THE END OF MARIJUANA PROHIBITION                                                                                                                                         |                    
 HENDREN FOR SENATE                                                                                                                                                                                   |                    
 HENDRIX FOR SENATE CAMPAIGN                                                                                                                                                                          |                    
 HENDRY FOR CONGRESS                                                                                                                                                                                  |                    
 HENRY COLON FOR CONGRESS                                                                                                                                                                             |                    
 HENRY E. BROWN JR. FOR CONGRESS                                                                                                                                                                      |                    
 HENRY FORD HEALTH SYSTEM POLITICAL ACTION COMMITTEE                                                                                                                                                  |                    
 HENRY LAWRENCE FOR CONGRESS LLC                                                                                                                                                                      |                    
 HENRY ROSS FOR CONGRESS                                                                                                                                                                              |                    
 HENRY YANEZ FOR CONGRESS                                                                                                                                                                             |                    
 HENSLEY FOR CONGRESS                                                                                                                                                                                 |                    
 HEOS FOR SENATE COMMITTEE                                                                                                                                                                            |                    
 H E PEOPLES' CHOICE POLITICAL ACTION COMMITTEE                                                                                                                                                       |                    
 HERBALIFE PAC                                                                                                                                                                                        |                    
 HERB KOHL FOR UNITED STATES SENATE INC                                                                                                                                                               |                    
 HERB RULE FOR CONGRESS                                                                                                                                                                               |                    
 HERFF JONES, INC. PAC ('HERFF JONES PAC')                                                                                                                                                            |                    
 HERFORD FOR CONGRESS                                                                                                                                                                                 |                    
 HERITAGE ACTION FOR AMERICA                                                                                                                                                                          |                    
 HERITAGE CONCEPTS                                                                                                                                                                                    |                    
 HERITAGE PALMS DEMOCRATS                                                                                                                                                                             |                    
 HERMANATOR PAC; THE                                                                                                                                                                                  |                    
 HERMAN FOR PRESIDENT                                                                                                                                                                                 |                    
 HERMAN, HERMAN, KATZ AND COTLAR, LLP                                                                                                                                                                 |                    
 HERMAN TAYLOR FOR US CONGRESS                                                                                                                                                                        |                    
 HERNANDEZ FOR US CONGRESS COMMITTEE                                                                                                                                                                  |                    
 HERNANDEZ VIVONI INC                                                                                                                                                                                 |                    
 HEROPAC                                                                                                                                                                                              |                    
 HERO'S FUND                                                                                                                                                                                          |                    
 HERRING FOR CONGRESS                                                                                                                                                                                 |                    
 HERRMANN FOR CONGRESS                                                                                                                                                                                |                    
 HERRON FOR CONGRESS                                                                                                                                                                                  |                    
 HERSCHAL AND  MOLEY FOR A BETTER TOMORROW, TOMORROW                                                                                                                                                  |                    
 HERZOG CONTRACTING CORP. POLITICAL ACTION COMMITTEE                                                                                                                                                  |                    
 HESS CORPORATION POLITICAL ACTION COMMITTEE (HESS PAC)                                                                                                                                               |                    
 HESS FOR GOVERNOR 2014 COMMITTEE                                                                                                                                                                     |                    
 HESTERBERG, GREGORY C                                                                                                                                                                                |                    
 HETRICK FOR CONGRESS                                                                                                                                                                                 |                    
 HEUPEL FOR PRESIDENT                                                                                                                                                                                 |                    
 HEWLETT-PACKARD COMPANY PAC                                                                                                                                                                          |                    
 HEXCEL CORPORATION POLITICAL ACTION COMMITTEE                                                                                                                                                        |                    
 HF RESPONSIBILITY FUND                                                                                                                                                                               |                    
 HICE FREEDOM FUND                                                                                                                                                                                    |                    
 HICKORY GROUND SOLUTIONS LLC POLITICAL ACTION COMMITTEE                                                                                                                                              |                    
 HICKORY HOOSIER JFC                                                                                                                                                                                  |                    
 HICKS, MEGAN                                                                                                                                                                                         |                    
 HIDDEN BALL LEAGUE, THE                                                                                                                                                                              |                    
 HIGHER GROUND POLITICAL ACTION COMMITTEE                                                                                                                                                             |                    
 HIGHER HEIGHTS FOR AMERICA PAC                                                                                                                                                                       |                    
 HIGHLAND CAPITAL MANAGEMENT LP POLITICAL ACTION COMMITTEE                                                                                                                                            |                    
 HIGHMARK PAC OF HIGHMARK INC.                                                                                                                                                                        |                    
 HILARY SHMILARY PAC                                                                                                                                                                                  |                    
 HILEX POLY CO.  LLC RESPONSIBLE GOVERNMENT FUND                                                                                                                                                      |                    
 HILLARY 2016                                                                                                                                                                                         |             2000.00
 HILLARY CLINTON FOR PRESIDENT                                                                                                                                                                        |                    
 HILLARYCLINTONSUPERPAC                                                                                                                                                                               |                    
 HILLARYFTW                                                                                                                                                                                           |                    
 HILLARYPAC                                                                                                                                                                                           |                    
 HILLARY PROJECT; THE                                                                                                                                                                                 |                    
 HILLENBRAND INC. POLITICAL ACTION COMMITTEE                                                                                                                                                          |                    
 HILLIARD FOR CONGRESS                                                                                                                                                                                |                    
 HILL, JOHN ANDY MR                                                                                                                                                                                   |                    
 HILL-ROM HOLDINGS, INC. POLITICAL ACTION COMMITTEE (HRPAC)                                                                                                                                           |                    
 HILLSBOROUGH COUNTY REPUBLICAN EXECUTIVE COMMITTEE                                                                                                                                                   |                    
 HILLSDALE COUNTY DEMOCRATIC PARTY                                                                                                                                                                    |                    
 HILLSDALE COUNTY DEMOCRATIC PARTY                                                                                                                                                                    |                    
 HILLTOP BRIGADE                                                                                                                                                                                      |                    
 HILMAR CHEESE COMPANY, INC. PAC                                                                                                                                                                      |            25000.00
 HILTON WORLDWIDE POLITICAL ACTION COMMITTEE                                                                                                                                                          |                    
 HIMES FOR CONGRESS                                                                                                                                                                                   |                    
 HIMES MURPHY VICTORY FUND                                                                                                                                                                            |                    
 HINCK FOR MAINE                                                                                                                                                                                      |                    
 HINCKLEY FOR US SENATE                                                                                                                                                                               |                    
 HINDAHL FOR CONGRESS COMMITTEE                                                                                                                                                                       |                    
 HINDU AMERICAN POLITICAL ACTION COMMITTEE                                                                                                                                                            |                    
 HINMAN STRAUB PAC (STATE STREET ASSOCIATES PAC)                                                                                                                                                      |                    
 HINOJOSA-FLORES FOR CONGRESS                                                                                                                                                                         |                    
 HIP HOP UNITED                                                                                                                                                                                       |                    
 HIPP, WILLIAM H                                                                                                                                                                                      |                    
 HIRES FOR CONGRESS                                                                                                                                                                                   |                    
 HIRSCHBIEL FOR CONGRESS                                                                                                                                                                              |                    
 HIS COMPANY INC PAC (HISCO PAC)                                                                                                                                                                      |                    
 HISPAC, INC.                                                                                                                                                                                         |                    
 HISPANIC 100 FED PAC                                                                                                                                                                                 |                    
